Ref;Qnty;Value;Description
C1 -- C10, C13;11;0.1uF;Unpolarized capacitor
C11, C12;2;33pF;Unpolarized capacitor
C14;1;22uF;Polarized capacitor
C15;1;220uF;Polarized capacitor
J1;1;Connector;Right angle connector, double row, 2x20
J2;1;EXTVDP;Connetor, double row, 2x5
J3;1;RCA;RCA jack
JP1;1;/RST;Pin header, 1x3
JP2;1;/IRQ;Pin header, 1x2
JP3;1;ADDRESS;Pin header, 1x3
L1;1;Inductor;Inductor, small bead
Q1;1;2N3904;Small Signal NPN Transistor, TO-92
R1, R2;2;4K7;Resistor, 250mA
R3;1;0;Resistor, 250mA
R4;1;470;Resistor, 250mA
R5, R6;2;75;Resistor, 250mA
U1;1;74LS30;8-input NAND
U2;1;74LS00;Quad 2-input NAND
U3;1;74LS02;Quad 2-input NOR
U4;1;74LS04;Hex Inverter
U5;1;74LS08;Quad 2-input AND
U6;1;TMS9918A;Video Display Processor
U7, U8, U9;3;74LS574;8-bit Register
U10;1;CY7C199;Static RAM, 32K x 8
Y1;1;10.7386Mhz;Two pin crystal
